id	rate
47053	55
47055	37
47059	135
47061	50
47067	2
47069	42
47071	52
47075	23
47077	59
47079	50
47083	11
47085	25
47087	13
47091	114
47095	1
47097	35
47099	66
47101	29
47103	89
47117	23
47107	104
47109	49
47121	35
47123	149
47127	5
47131	35
47133	17
47135	16
47137	14
47141	91
47143	39
47151	34
47155	133
47161	49
47175	7
47177	55
47181	33
47183	18
47185	58
48007	71
48009	9
48011	3
48013	54
48015	20
48019	26
48021	151
48027	52
48029	330
48037	74
48039	124
48041	67
48051	16
48055	27
48059	5
48061	126
48065	19
48071	102
48077	8
48085	43
48091	100
48099	8
48107	1
48113	28
48121	46
48135	73
48139	50
48141	186
48145	3
48157	516
48167	95
48175	12
48181	55
48183	37
48187	18
48199	28
48201	5181
48209	106
48215	313
48221	67
48229	4
48231	84
48235	1
48245	49
48251	97
48257	96
48281	1
48291	124
48303	85
48305	0
48317	2
48309	65
48325	25
48329	54
48339	379
48355	52
48359	3
48361	73
48367	83
48375	29
48381	28
48395	2
48397	13
48401	78
48409	29
48423	180
48425	12
48439	56
48441	21
48451	7
48453	557
48459	42
48469	72
48473	22
48479	32
48485	7
48491	115
48493	26
48497	61
48001	42
48003	7
48005	63
48017	10
48023	0
48025	24
48031	7
48033	4
48035	4
48043	4
48045	0
48047	1
48049	19
48053	29
48057	14
48063	2
48067	33
48069	1
48073	51
48075	0
48079	3
48081	1
48087	9
48089	28
48093	6
48095	1
48097	26
48101	0
48103	2
48105	3
48109	0
48111	0
48115	1
48117	3
48119	0
48123	18
48125	1
48127	2
48129	1
48131	39
48133	0
48137	4
48143	12
48147	19
48149	6
48151	13
48153	7
48155	0
48159	17
48161	9
48163	4
48165	6
48169	5
48171	4
48173	0
48177	13
48179	10
48185	15
48189	18
48191	1
48195	8
48197	2
48203	32
48205	1
48207	1
48211	9
48213	148
48217	28
48219	24
48223	18
48225	7
48227	20
48233	17
48237	10
48239	13
48241	50
48243	1
48247	2
48255	9
48261	3
48263	3
48265	21
48267	1
48269	0
48271	1
48273	18
48275	0
48277	16
48279	1
48283	6
48285	11
48287	9
48289	22
48293	15
48295	4
48297	11
48299	8
48301	0
48313	2
48319	2
48321	49
48323	53
48307	1
48311	1
48327	0
48331	11
48333	2
48335	1
48337	9
48341	10
48343	7
48345	0
48347	56
48353	4
48357	6
48363	1
48365	23
48369	1
48371	6
48373	28
48377	3
48379	14
48383	4
48385	6
48387	6
48389	3
48391	7
48393	0
48399	3
48403	25
48405	30
48407	29
48411	1
48413	0
48415	9
48417	1
48419	21
48421	1
48427	82
48429	2
48431	0
48433	2
48435	0
48443	0
48445	4
48447	0
48449	32
48455	16
48457	55
48461	3
48463	7
48465	7
48467	2
48471	64
48475	42
48477	19
48481	56
48483	5
48487	1
48489	37
48495	2
48499	24
48501	9
48503	5
48507	16
49003	11
49005	8
49011	9
49023	6
49035	472
49049	27
49053	20
49057	20
49001	0
49007	8
49013	25
49015	11
49021	21
49025	7
49027	31
49033	2
49037	5
49039	15
49041	11
49043	15
49047	13
49051	10
50007	0
50011	3
50013	0
50015	7
50025	0
51003	37
51007	8
51009	12
51011	7
51013	203
51015	47
51019	24
51023	21
51029	12
51031	83
51033	18
51036	3
51041	172
51043	7
51045	1
51047	18
51053	45
51059	398
51061	28
51063	11
51065	24
51067	53
51069	25
51071	8
51073	17
51075	17
51079	12
51085	64
51087	348
51093	22
51095	60
51101	8
51107	174
51115	3
51121	29
51125	15
51127	7
51145	8
51149	20
51153	508
51155	37
51157	0
51161	129
51165	37
51169	8
51177	135
51179	220
51183	6
51187	9
51191	48
51199	51
51001	17
51005	8
51017	7
51021	0
51025	4
51027	30
51035	12
51037	20
51049	14
51051	10
51057	4
51077	8
51081	2
51083	22
51089	61
51091	4
51097	12
51099	13
51103	5
51105	10
51109	40
51111	3
51113	7
51117	15
51119	4
51131	3
51133	14
51135	3
51137	13
51139	9
51141	17
51143	25
51147	7
51159	8
51163	17
51167	21
51171	24
51173	19
51175	9
51181	13
51185	22
51193	10
51195	13
51197	12
53003	10
53005	47
53007	31
53011	195
53013	3
53015	32
53017	20
53021	17
53033	217
53035	274
53051	17
53053	796
53057	66
53059	7
53061	367
53063	107
53065	25
53067	205
53071	17
53073	107
53077	85
53001	15
53009	70
53019	3
